ITERATION,METRIC_TYPE,CPU_CYCLES
63,AEROSLS_DIRECT_MMU_CYCLES,16
64,LEGACY_VFS_STACK_CYCLES,461
64,AEROSLS_DIRECT_MMU_CYCLES,18
65,LEGACY_VFS_STACK_CYCLES,440
65,AEROSLS_DIRECT_MMU_CYCLES,18
66,LEGACY_VFS_STACK_CYCLES,438
66,AEROSLS_DIRECT_MMU_CYCLES,14
67,LEGACY_VFS_STACK_CYCLES,462
67,AEROSLS_DIRECT_MMU_CYCLES,17
68,LEGACY_VFS_STACK_CYCLES,443
68,AEROSLS_DIRECT_MMU_CYCLES,18
69,LEGACY_VFS_STACK_CYCLES,424
69,AEROSLS_DIRECT_MMU_CYCLES,15
70,LEGACY_VFS_STACK_CYCLES,426
70,AEROSLS_DIRECT_MMU_CYCLES,18
71,LEGACY_VFS_STACK_CYCLES,430
71,AEROSLS_DIRECT_MMU_CYCLES,14
72,LEGACY_VFS_STACK_CYCLES,455
72,AEROSLS_DIRECT_MMU_CYCLES,20
73,LEGACY_VFS_STACK_CYCLES,449
73,AEROSLS_DIRECT_MMU_CYCLES,20
74,LEGACY_VFS_STACK_CYCLES,459
74,AEROSLS_DIRECT_MMU_CYCLES,17
75,LEGACY_VFS_STACK_CYCLES,439
75,AEROSLS_DIRECT_MMU_CYCLES,18
76,LEGACY_VFS_STACK_CYCLES,449
76,AEROSLS_DIRECT_MMU_CYCLES,15
77,LEGACY_VFS_STACK_CYCLES,458
77,AEROSLS_DIRECT_MMU_CYCLES,17
78,LEGACY_VFS_STACK_CYCLES,441
78,AEROSLS_DIRECT_MMU_CYCLES,15
79,LEGACY_VFS_STACK_CYCLES,455
79,AEROSLS_DIRECT_MMU_CYCLES,19
80,LEGACY_VFS_STACK_CYCLES,435
80,AEROSLS_DIRECT_MMU_CYCLES,21
81,LEGACY_VFS_STACK_CYCLES,440
81,AEROSLS_DIRECT_MMU_CYCLES,15
82,LEGACY_VFS_STACK_CYCLES,440
82,AEROSLS_DIRECT_MMU_CYCLES,16
83,LEGACY_VFS_STACK_CYCLES,425
83,AEROSLS_DIRECT_MMU_CYCLES,18
84,LEGACY_VFS_STACK_CYCLES,455
84,AEROSLS_DIRECT_MMU_CYCLES,20
85,LEGACY_VFS_STACK_CYCLES,438
85,AEROSLS_DIRECT_MMU_CYCLES,15
86,LEGACY_VFS_STACK_CYCLES,447
86,AEROSLS_DIRECT_MMU_CYCLES,18
87,LEGACY_VFS_STACK_CYCLES,455
87,AEROSLS_DIRECT_MMU_CYCLES,21
88,LEGACY_VFS_STACK_CYCLES,455
88,AEROSLS_DIRECT_MMU_CYCLES,15
89,LEGACY_VFS_STACK_CYCLES,458
89,AEROSLS_DIRECT_MMU_CYCLES,16
90,LEGACY_VFS_STACK_CYCLES,445
90,AEROSLS_DIRECT_MMU_CYCLES,16
91,LEGACY_VFS_STACK_CYCLES,439
91,AEROSLS_DIRECT_MMU_CYCLES,19
92,LEGACY_VFS_STACK_CYCLES,445
92,AEROSLS_DIRECT_MMU_CYCLES,18
93,LEGACY_VFS_STACK_CYCLES,416
93,AEROSLS_DIRECT_MMU_CYCLES,18
94,LEGACY_VFS_STACK_CYCLES,420
94,AEROSLS_DIRECT_MMU_CYCLES,16
95,LEGACY_VFS_STACK_CYCLES,423
95,AEROSLS_DIRECT_MMU_CYCLES,20
96,LEGACY_VFS_STACK_CYCLES,429
96,AEROSLS_DIRECT_MMU_CYCLES,16
97,LEGACY_VFS_STACK_CYCLES,454
97,AEROSLS_DIRECT_MMU_CYCLES,16
98,LEGACY_VFS_STACK_CYCLES,430
98,AEROSLS_DIRECT_MMU_CYCLES,18
99,LEGACY_VFS_STACK_CYCLES,440
99,AEROSLS_DIRECT_MMU_CYCLES,19
0,LAZY_SWITCH_CYCLES,45
0,STRICT_XSAVE_SWITCH_CYCLES,2423
1,LAZY_SWITCH_CYCLES,41
1,STRICT_XSAVE_SWITCH_CYCLES,2416
2,LAZY_SWITCH_CYCLES,43
2,STRICT_XSAVE_SWITCH_CYCLES,2631
3,LAZY_SWITCH_CYCLES,50
3,STRICT_XSAVE_SWITCH_CYCLES,2521
4,LAZY_SWITCH_CYCLES,46
4,STRICT_XSAVE_SWITCH_CYCLES,2462
5,LAZY_SWITCH_CYCLES,48
5,STRICT_XSAVE_SWITCH_CYCLES,2540
6,LAZY_SWITCH_CYCLES,50
6,STRICT_XSAVE_SWITCH_CYCLES,2253
7,LAZY_SWITCH_CYCLES,44
7,STRICT_XSAVE_SWITCH_CYCLES,2480
8,LAZY_SWITCH_CYCLES,50
8,STRICT_XSAVE_SWITCH_CYCLES,2705
9,LAZY_SWITCH_CYCLES,48
9,STRICT_XSAVE_SWITCH_CYCLES,2500
10,LAZY_SWITCH_CYCLES,38
10,STRICT_XSAVE_SWITCH_CYCLES,2492
11,LAZY_SWITCH_CYCLES,54
11,STRICT_XSAVE_SWITCH_CYCLES,2545
12,LAZY_SWITCH_CYCLES,43
12,STRICT_XSAVE_SWITCH_CYCLES,2584
13,LAZY_SWITCH_CYCLES,40
13,STRICT_XSAVE_SWITCH_CYCLES,2265
14,LAZY_SWITCH_CYCLES,40
14,STRICT_XSAVE_SWITCH_CYCLES,2300
15,LAZY_SWITCH_CYCLES,46
15,STRICT_XSAVE_SWITCH_CYCLES,2508
16,LAZY_SWITCH_CYCLES,44
16,STRICT_XSAVE_SWITCH_CYCLES,2406
17,LAZY_SWITCH_CYCLES,44
17,STRICT_XSAVE_SWITCH_CYCLES,2629
18,LAZY_SWITCH_CYCLES,50
18,STRICT_XSAVE_SWITCH_CYCLES,2450
19,LAZY_SWITCH_CYCLES,48
19,STRICT_XSAVE_SWITCH_CYCLES,2272
20,LAZY_SWITCH_CYCLES,48
20,STRICT_XSAVE_SWITCH_CYCLES,2346
21,LAZY_SWITCH_CYCLES,48
21,STRICT_XSAVE_SWITCH_CYCLES,2459
22,LAZY_SWITCH_CYCLES,49
22,STRICT_XSAVE_SWITCH_CYCLES,2464
23,LAZY_SWITCH_CYCLES,44
23,STRICT_XSAVE_SWITCH_CYCLES,2438
24,LAZY_SWITCH_CYCLES,46
24,STRICT_XSAVE_SWITCH_CYCLES,2604
25,LAZY_SWITCH_CYCLES,46
25,STRICT_XSAVE_SWITCH_CYCLES,2617
26,LAZY_SWITCH_CYCLES,52
26,STRICT_XSAVE_SWITCH_CYCLES,2466
27,LAZY_SWITCH_CYCLES,53
27,STRICT_XSAVE_SWITCH_CYCLES,2250
28,LAZY_SWITCH_CYCLES,47
28,STRICT_XSAVE_SWITCH_CYCLES,2553
29,LAZY_SWITCH_CYCLES,43
29,STRICT_XSAVE_SWITCH_CYCLES,2546
30,LAZY_SWITCH_CYCLES,49
30,STRICT_XSAVE_SWITCH_CYCLES,2519
31,LAZY_SWITCH_CYCLES,43
31,STRICT_XSAVE_SWITCH_CYCLES,2593
32,LAZY_SWITCH_CYCLES,46
32,STRICT_XSAVE_SWITCH_CYCLES,2357
33,LAZY_SWITCH_CYCLES,52
33,STRICT_XSAVE_SWITCH_CYCLES,2706
34,LAZY_SWITCH_CYCLES,42
34,STRICT_XSAVE_SWITCH_CYCLES,2379
35,LAZY_SWITCH_CYCLES,51
35,STRICT_XSAVE_SWITCH_CYCLES,2567
36,LAZY_SWITCH_CYCLES,50
36,STRICT_XSAVE_SWITCH_CYCLES,2299
37,LAZY_SWITCH_CYCLES,40
37,STRICT_XSAVE_SWITCH_CYCLES,2383
38,LAZY_SWITCH_CYCLES,52
38,STRICT_XSAVE_SWITCH_CYCLES,2652
39,LAZY_SWITCH_CYCLES,50
39,STRICT_XSAVE_SWITCH_CYCLES,2456
40,LAZY_SWITCH_CYCLES,46
40,STRICT_XSAVE_SWITCH_CYCLES,2577
41,LAZY_SWITCH_CYCLES,41
41,STRICT_XSAVE_SWITCH_CYCLES,2511
42,LAZY_SWITCH_CYCLES,41
42,STRICT_XSAVE_SWITCH_CYCLES,2473
43,LAZY_SWITCH_CYCLES,43
43,STRICT_XSAVE_SWITCH_CYCLES,2635
44,LAZY_SWITCH_CYCLES,49
44,STRICT_XSAVE_SWITCH_CYCLES,2459
45,LAZY_SWITCH_CYCLES,40
45,STRICT_XSAVE_SWITCH_CYCLES,2289
46,LAZY_SWITCH_CYCLES,48
46,STRICT_XSAVE_SWITCH_CYCLES,2397
47,LAZY_SWITCH_CYCLES,38
47,STRICT_XSAVE_SWITCH_CYCLES,2546
48,LAZY_SWITCH_CYCLES,45
48,STRICT_XSAVE_SWITCH_CYCLES,2529
49,LAZY_SWITCH_CYCLES,46
49,STRICT_XSAVE_SWITCH_CYCLES,2313
50,LAZY_SWITCH_CYCLES,60
50,STRICT_XSAVE_SWITCH_CYCLES,2405
51,LAZY_SWITCH_CYCLES,55
51,STRICT_XSAVE_SWITCH_CYCLES,2421
52,LAZY_SWITCH_CYCLES,47
52,STRICT_XSAVE_SWITCH_CYCLES,2445
53,LAZY_SWITCH_CYCLES,48
53,STRICT_XSAVE_SWITCH_CYCLES,2334
54,LAZY_SWITCH_CYCLES,47
54,STRICT_XSAVE_SWITCH_CYCLES,2416
55,LAZY_SWITCH_CYCLES,48
55,STRICT_XSAVE_SWITCH_CYCLES,2405
56,LAZY_SWITCH_CYCLES,45
56,STRICT_XSAVE_SWITCH_CYCLES,2570
57,LAZY_SWITCH_CYCLES,55
57,STRICT_XSAVE_SWITCH_CYCLES,2574
58,LAZY_SWITCH_CYCLES,43
58,STRICT_XSAVE_SWITCH_CYCLES,2469
59,LAZY_SWITCH_CYCLES,53
59,STRICT_XSAVE_SWITCH_CYCLES,2442
60,LAZY_SWITCH_CYCLES,42
60,STRICT_XSAVE_SWITCH_CYCLES,2500
61,LAZY_SWITCH_CYCLES,45
61,STRICT_XSAVE_SWITCH_CYCLES,2395
62,LAZY_SWITCH_CYCLES,39
62,STRICT_XSAVE_SWITCH_CYCLES,2359
63,LAZY_SWITCH_CYCLES,49
63,STRICT_XSAVE_SWITCH_CYCLES,2382
64,LAZY_SWITCH_CYCLES,54
64,STRICT_XSAVE_SWITCH_CYCLES,2415
65,LAZY_SWITCH_CYCLES,45
65,STRICT_XSAVE_SWITCH_CYCLES,2357
66,LAZY_SWITCH_CYCLES,45
66,STRICT_XSAVE_SWITCH_CYCLES,2503
67,LAZY_SWITCH_CYCLES,39
67,STRICT_XSAVE_SWITCH_CYCLES,2565
68,LAZY_SWITCH_CYCLES,44
68,STRICT_XSAVE_SWITCH_CYCLES,2310
69,LAZY_SWITCH_CYCLES,40
69,STRICT_XSAVE_SWITCH_CYCLES,2488
70,LAZY_SWITCH_CYCLES,47
70,STRICT_XSAVE_SWITCH_CYCLES,2461
71,LAZY_SWITCH_CYCLES,54
71,STRICT_XSAVE_SWITCH_CYCLES,2523
72,LAZY_SWITCH_CYCLES,42
72,STRICT_XSAVE_SWITCH_CYCLES,2484
73,LAZY_SWITCH_CYCLES,54
73,STRICT_XSAVE_SWITCH_CYCLES,2325
74,LAZY_SWITCH_CYCLES,47
74,STRICT_XSAVE_SWITCH_CYCLES,2346
75,LAZY_SWITCH_CYCLES,45
75,STRICT_XSAVE_SWITCH_CYCLES,2488
76,LAZY_SWITCH_CYCLES,48
76,STRICT_XSAVE_SWITCH_CYCLES,2598
77,LAZY_SWITCH_CYCLES,46
77,STRICT_XSAVE_SWITCH_CYCLES,2241
78,LAZY_SWITCH_CYCLES,46
78,STRICT_XSAVE_SWITCH_CYCLES,2523
79,LAZY_SWITCH_CYCLES,43
79,STRICT_XSAVE_SWITCH_CYCLES,2616
80,LAZY_SWITCH_CYCLES,50
80,STRICT_XSAVE_SWITCH_CYCLES,2468
81,LAZY_SWITCH_CYCLES,44
81,STRICT_XSAVE_SWITCH_CYCLES,2546
82,LAZY_SWITCH_CYCLES,42
82,STRICT_XSAVE_SWITCH_CYCLES,2408
83,LAZY_SWITCH_CYCLES,46
83,STRICT_XSAVE_SWITCH_CYCLES,2472
84,LAZY_SWITCH_CYCLES,51
84,STRICT_XSAVE_SWITCH_CYCLES,2307
85,LAZY_SWITCH_CYCLES,47
85,STRICT_XSAVE_SWITCH_CYCLES,2589
86,LAZY_SWITCH_CYCLES,42
86,STRICT_XSAVE_SWITCH_CYCLES,2377
87,LAZY_SWITCH_CYCLES,53
87,STRICT_XSAVE_SWITCH_CYCLES,2435
88,LAZY_SWITCH_CYCLES,55
88,STRICT_XSAVE_SWITCH_CYCLES,2332
89,LAZY_SWITCH_CYCLES,49
89,STRICT_XSAVE_SWITCH_CYCLES,2330
90,LAZY_SWITCH_CYCLES,52
90,STRICT_XSAVE_SWITCH_CYCLES,2466
91,LAZY_SWITCH_CYCLES,53
91,STRICT_XSAVE_SWITCH_CYCLES,2405
92,LAZY_SWITCH_CYCLES,53
92,STRICT_XSAVE_SWITCH_CYCLES,2527
93,LAZY_SWITCH_CYCLES,49
93,STRICT_XSAVE_SWITCH_CYCLES,2535
94,LAZY_SWITCH_CYCLES,49
94,STRICT_XSAVE_SWITCH_CYCLES,2520
95,LAZY_SWITCH_CYCLES,49
95,STRICT_XSAVE_SWITCH_CYCLES,2511
96,LAZY_SWITCH_CYCLES,39
96,STRICT_XSAVE_SWITCH_CYCLES,2659
97,LAZY_SWITCH_CYCLES,50
97,STRICT_XSAVE_SWITCH_CYCLES,2368
98,LAZY_SWITCH_CYCLES,41
98,STRICT_XSAVE_SWITCH_CYCLES,2479
99,LAZY_SWITCH_CYCLES,54
99,STRICT_XSAVE_SWITCH_CYCLES,2610
